Dataset,Downloads,Task Count,Task Names
glue,252292,9,mrpc; rte; qnli; mnli; mnli_mismatch; sst2; qqp; wnli; cola
EleutherAI/lambada_openai,79640,7,lambada_openai_mt_fr; lambada_openai; lambada_openai_mt_en; lambada_openai_mt_es; lambada_openai_mt_de; lambada_openai_cloze_yaml; lambada_openai_mt_it
DigitalLearningGmbH/MATH-lighteval,24634,7,leaderboard_math_algebra_hard; leaderboard_math_intermediate_algebra_hard; leaderboard_math_geometry_hard; leaderboard_math_num_theory_hard; leaderboard_math_precalculus_hard; leaderboard_math_counting_and_prob_hard; leaderboard_math_prealgebra_hard
Muennighoff/xwinograd,22508,6,xwinograd_zh; xwinograd_en; xwinograd_pt; xwinograd_ru; xwinograd_jp; xwinograd_fr
gsm8k,540352,5,gsm8k; gsm8k_cot_zeroshot; gsm8k_cot; gsm8k_cot_llama; gsm8k_cot_self_consistency
allenai/ai2_arc,219310,3,arc_challenge_chat; arc_easy; arc_challenge
openai/openai_humaneval,64485,3,humaneval; humaneval_64; humaneval_plus
truthful_qa,37260,3,truthfulqa_mc2; truthfulqa_mc1; truthfulqa_gen
cais/wmdp,14596,3,wmdp_cyber; wmdp_chem; wmdp_bio
lambada,79640,2,lambada_standard; lambada_standard_cloze_yaml
google-research-datasets/mbpp,39211,2,mbpp_plus; mbpp
hellaswag,186239,1,hellaswag
winogrande,158151,1,winogrande
openbookqa,126345,1,openbookqa
tau/commonsense_qa,88473,1,commonsense_qa
winograd_wsc,50560,1,wsc273
EleutherAI/wikitext_document_level,34971,1,wikitext
piqa,26082,1,piqa
trivia_qa,23929,1,triviaqa
social_i_qa,22501,1,social_iqa
google/IFEval,20768,1,ifeval
sciq,18886,1,sciq
csebuetnlp/xlsum,10940,1,xlsum_es
